tweet_id,hashtags,date,img_urls,video_url,replies,reply_to_users,retweets,links,user_mentions
1246559341412601858,"['auxilio', 'auxilioemergencial', 'direito', 'direitos', 'covid19', 'coronavirus', 'trabalhador', 'trabalho', 'covid_19', 'atencao', 'importante']",2020-04-04T22:04:41,['https://pbs.twimg.com/media/EUyrHCjWAAIMxJw.jpg'],,0,[],0,['https://tiagoaquines.blogspot.com/2020/04/como-vai-funcionar-o-beneficio.html?m=1'],[]
1246551548429295624,"['coronavírusbrasil', 'coronavid19', 'covid19', 'cvid19', 'cvid', 'coronavirus', 'coronavirusnobrasil', 'covid', '600reais', 'coronavoucher', 'ForaBolsonaro', 'eibolsonarovaitomarnocu', 'impeachmentbolsonaro', 'lula', 'lulalivre', 'Mandetta', 'EuAvisei', 'quarentena', 'quarentenaBrasil', 'auxilioemergencial']",2020-04-04T21:33:43,['https://pbs.twimg.com/media/EUykBAzXYAcvBZt.jpg'],,0,[],0,[],[]
1246514978938470400,"['covid19', 'auxilio', 'auxilioemergencial']",2020-04-04T19:08:24,[],,0,[],0,['https://www.instagram.com/p/B-kfPoLnhql/?igshid=vae27h48k1jw'],[]
1246505842251268097,"['somacontabilidadetc', 'auxílioemergencial', 'covid19', 'economia']",2020-04-04T18:32:06,[],,0,[],0,['https://www.instagram.com/p/B-kbFymAPeA/?igshid=17v6ug48qtbcp'],[]
1246505359684055041,"['josesaud', 'taubaté', 'auxilioemergencial']",2020-04-04T18:30:11,['https://pbs.twimg.com/media/EUx6BLbWkAsAvBe.jpg'],,0,[],0,[],[]
1246451152700542979,"['barulhonoceu', 'nakedchallenge', 'Venezuela', 'MeAskMew', 'BBB20', 'BiscoitoLGBTQ', 'COVID2019', 'auxilioemergencial']",2020-04-04T14:54:47,['https://pbs.twimg.com/media/EUxItpxXgAE953K.jpg'],,2,[],0,['https://tv-two.com/money/4737E5E4-FA66-4A65-9676-92566DA75BD7'],[]
1246449395475845120,['auxilioemergencial'],2020-04-04T14:47:48,[],,0,[],0,['https://twitter.com/Caixa/status/1246275638849396737'],[]
1246441683123728384,['auxilioemergencial'],2020-04-04T14:17:09,[],,0,[],0,[],[]
1246429409478934529,"['aplicativo', 'dinheiro', 'cadastro', 'auxilioemergencial', '600reais', 'rioverde', 'goiascontracoronaviruspic']",2020-04-04T13:28:23,['https://pbs.twimg.com/media/EUw04XtXsAE0xzv.png'],,0,[],0,['http://jornalsomos.com.br/brasil/detalhe/governo-vai-usar-aplicativo-para-cadastrar-informais-que-tem-direito-a-auxilio-de-r-600'],[]
1246419576394526720,"['EduardoBraide', 'BraideTrabalha', 'AuxílioEmergencial', 'TodosContraoCoronapic']",2020-04-04T12:49:19,['https://pbs.twimg.com/media/EUwr_gkXsAYVzbC.jpg'],,2,[],7,[],[]
1246408187659661314,['auxilioemergencial'],2020-04-04T12:04:03,[],,1,[],0,[],[]
1246403562583752705,"['CoronavirusPlantao', 'coronavoucher', 'dicas', 'direito', 'informação', 'negocios', 'empresas', 'corona', 'auxilioemergencial', '600reais']",2020-04-04T11:45:41,[],,0,[],0,['https://youtu.be/dPBB5_DBwF8'],['@YouTube']
1246278631413989376,"['covid19', 'auxílio', 'auxílioemergencial', 'direitodotrabalho', 'oab', 'direitoprevidenciario', 'advocacia', 'justiça', 'estudantededireito']",2020-04-04T03:29:15,[],,0,[],0,['https://www.instagram.com/p/B-izw6AhioR/?igshid=zdbp629kidx8'],[]
1246275638849396737,['AuxilioEmergencial'],2020-04-04T03:17:21,['https://pbs.twimg.com/media/EUupEuvWkAESYFX.jpg'],,234,[],278,[],[]
1246559341412601858,"['auxilio', 'auxilioemergencial', 'direito', 'direitos', 'covid19', 'coronavirus', 'trabalhador', 'trabalho', 'covid_19', 'atencao', 'importante']",2020-04-04T22:04:41,['https://pbs.twimg.com/media/EUyrHCjWAAIMxJw.jpg'],,0,[],0,['https://tiagoaquines.blogspot.com/2020/04/como-vai-funcionar-o-beneficio.html?m=1'],[]
1246551548429295624,"['coronavírusbrasil', 'coronavid19', 'covid19', 'cvid19', 'cvid', 'coronavirus', 'coronavirusnobrasil', 'covid', '600reais', 'coronavoucher', 'ForaBolsonaro', 'eibolsonarovaitomarnocu', 'impeachmentbolsonaro', 'lula', 'lulalivre', 'Mandetta', 'EuAvisei', 'quarentena', 'quarentenaBrasil', 'auxilioemergencial']",2020-04-04T21:33:43,['https://pbs.twimg.com/media/EUykBAzXYAcvBZt.jpg'],,0,[],0,[],[]
1246514978938470400,"['covid19', 'auxilio', 'auxilioemergencial']",2020-04-04T19:08:24,[],,0,[],0,['https://www.instagram.com/p/B-kfPoLnhql/?igshid=vae27h48k1jw'],[]
1246505842251268097,"['somacontabilidadetc', 'auxílioemergencial', 'covid19', 'economia']",2020-04-04T18:32:06,[],,0,[],0,['https://www.instagram.com/p/B-kbFymAPeA/?igshid=17v6ug48qtbcp'],[]
1246505359684055041,"['josesaud', 'taubaté', 'auxilioemergencial']",2020-04-04T18:30:11,['https://pbs.twimg.com/media/EUx6BLbWkAsAvBe.jpg'],,0,[],0,[],[]
1246451152700542979,"['barulhonoceu', 'nakedchallenge', 'Venezuela', 'MeAskMew', 'BBB20', 'BiscoitoLGBTQ', 'COVID2019', 'auxilioemergencial']",2020-04-04T14:54:47,['https://pbs.twimg.com/media/EUxItpxXgAE953K.jpg'],,2,[],0,['https://tv-two.com/money/4737E5E4-FA66-4A65-9676-92566DA75BD7'],[]
1246449395475845120,['auxilioemergencial'],2020-04-04T14:47:48,[],,0,[],0,['https://twitter.com/Caixa/status/1246275638849396737'],[]
1246441683123728384,['auxilioemergencial'],2020-04-04T14:17:09,[],,0,[],0,[],[]
1246429409478934529,"['aplicativo', 'dinheiro', 'cadastro', 'auxilioemergencial', '600reais', 'rioverde', 'goiascontracoronaviruspic']",2020-04-04T13:28:23,['https://pbs.twimg.com/media/EUw04XtXsAE0xzv.png'],,0,[],0,['http://jornalsomos.com.br/brasil/detalhe/governo-vai-usar-aplicativo-para-cadastrar-informais-que-tem-direito-a-auxilio-de-r-600'],[]
1246419576394526720,"['EduardoBraide', 'BraideTrabalha', 'AuxílioEmergencial', 'TodosContraoCoronapic']",2020-04-04T12:49:19,['https://pbs.twimg.com/media/EUwr_gkXsAYVzbC.jpg'],,2,[],7,[],[]
1246408187659661314,['auxilioemergencial'],2020-04-04T12:04:03,[],,1,[],0,[],[]
1246403562583752705,"['CoronavirusPlantao', 'coronavoucher', 'dicas', 'direito', 'informação', 'negocios', 'empresas', 'corona', 'auxilioemergencial', '600reais']",2020-04-04T11:45:41,[],,0,[],0,['https://youtu.be/dPBB5_DBwF8'],['@YouTube']
1246278631413989376,"['covid19', 'auxílio', 'auxílioemergencial', 'direitodotrabalho', 'oab', 'direitoprevidenciario', 'advocacia', 'justiça', 'estudantededireito']",2020-04-04T03:29:15,[],,0,[],0,['https://www.instagram.com/p/B-izw6AhioR/?igshid=zdbp629kidx8'],[]
1246275638849396737,['AuxilioEmergencial'],2020-04-04T03:17:21,['https://pbs.twimg.com/media/EUupEuvWkAESYFX.jpg'],,234,[],278,[],[]
1246258950561030145,"['rendabasica', 'auxilioemergencial', 'coronavirusnobrasil']",2020-04-04T02:11:02,[],,0,[],0,[],[]
1246252423460552706,"['auxilioemergencial', 'pobreza', 'coronavirusbrasil', 'rendabasica', 'RendaMinimaEmergencialJahttps']",2020-04-04T01:45:06,[],,0,[],0,['https://youtu.be/A88J_4OyKlA'],[]
1246251971289534466,"['auxilioemergencial', 'pobreza', 'coronavirusbrasil', 'isolamentosocialhttps']",2020-04-04T01:43:18,[],,0,[],0,['https://youtu.be/Pq3B1RS95Ss'],[]
1246210648528297985,"['auxilioemergencial', 'mvuka', 'mvukacoletivo', 'coronavirusnobrasilhttps']",2020-04-03T22:59:06,[],,0,[],0,['https://twitter.com/mvukacoletivo/status/1246209442938568704'],[]
1246199401007255552,"['pandemia', 'CODIV_19', 'auxilioemergencial']",2020-04-03T22:14:25,[],,0,[],1,['https://twitter.com/nathfinancas/status/1245893640502808576'],[]
1246197734253768705,"['JornalTodoDia', 'CaixaEconômica', 'AuxílioEmergencial']",2020-04-03T22:07:47,[],,0,[],5,['https://tododia.com.br/?p=38287'],[]
1246195787790536707,"['auxilioemergencial', 'saque600governo']",2020-04-03T22:00:03,['https://pbs.twimg.com/media/EUtgdskXkAEoPeR.jpg'],,0,[],0,['https://www.acheconcursos.com.br/noticias/caixa-aplicativo-para-saque-auxilio-emergencial-600-reais-42882?utm_source=twitter&utm_medium=twitter&utm_campaign=RedesSociais'],['@adrianomaaspic.twitter.com/OvTMUNeSC7']
1246178624862068737,"['auxílioemergencial', 'CAIXAECONÔMICAFEDERAL', 'R']",2020-04-03T20:51:51,['https://pbs.twimg.com/media/EUtQ2sQXsAAlvW9.jpg'],,0,[],0,['https://orondoniense.com.br/governo-vai-usar-aplicativo-para-cadastrar-informais-que-tem-direito-a-auxilio-de-r-600/'],[]
1246175866834608129,['auxílioemergencial'],2020-04-03T20:40:54,[],,0,[],0,['https://www.instagram.com/p/B-iFCPkn9Mv/?igshid=18xi3m8auojxt'],[]
1246169142677422086,"['Coronavírus', 'AuxílioEmergencial']",2020-04-03T20:14:10,"['https://pbs.twimg.com/media/EUtIOvkXQAAftFR.jpg', 'https://pbs.twimg.com/media/EUtIOvaWAAAgATP.jpg']",,0,[],3,[],[]
1246159347467669506,"['Cidadania', 'auxilioemergencial', 'caixa', 'covid19']",2020-04-03T19:35:15,[],,0,[],0,[],[]
1246118458728865792,"['auxílioemergencial', 'auxilioemergencial', 'auxilioemergencialcovid19', 'trabalhadorrural', 'trabalhadoresunidos', 'trabalhadoresinformais', 'regrann']",2020-04-03T16:52:46,[],,0,[],0,['https://www.instagram.com/p/B-hq7ccDxY3/?igshid=hjku89ujxsun'],['@nunes_ve']
1246087978235150338,"['auxilio', 'auxilioemergencial', 'direito', 'direitos', 'covid19', 'coronavirus', 'trabalhador', 'trabalho', 'covid_19', 'atencao', 'importante']",2020-04-03T14:51:39,"['https://pbs.twimg.com/media/EUr-YqcWsAAoiQA.jpg', 'https://pbs.twimg.com/media/EUr-ZTWWoAAbD63.jpg', 'https://pbs.twimg.com/media/EUr-Z9EXkAA5ZXz.jpg']",,0,[],0,[],[]
1246087391871459329,"['auxílioemergencial', 'brasileiros', 'coronavírus', 'covid']",2020-04-03T14:49:20,[],,0,[],0,['https://othportal.com.br/saiba-como-sacar-o-auxilio-emergencial-de-r600?fb_ref=SmptVYkLQn-Twitter&utm_source=Twitter&utm_medium=ShareButton&utm_campaign=GetSocial'],['@getsocial_io']
1246077746465341440,"['auxilioemergencial', 'nao']",2020-04-03T14:11:00,[],,0,[],0,[],[]
1246073601465319432,['AuxilioEmergencial'],2020-04-03T13:54:32,[],,0,[],0,[],[]
